COD_MUNICIPIO;NM_MUNICIPIO;UF;AGUA_ENCANADA_PRINCIPAL;NAO_POSSUI_AGUA_ENCANADA;NAO_POSSUI_LIGACAO_ESGOTO;NAO_TINHAM_BANHEIRO_NEM_SANITARIO;PERC_COLETA_LIXO;PERC_ACESSO_INTERNET;PERC_ALFA_15MAIS;QTD_FORM_SUP_EDUC;QTD_FORM_SUP;TX_CRESC_GEO;DENSIDADE_DEMO;INDICE_ENVELHECIMENTO;POP_PRETA;POP_PARDA;POP;PIB_BRUTO;PARTICIPACAO_PIB_UF;PARTICIPACAO_PIB_MESOREGIAO;TX_PESSOAS_PRETA_OU_PARDA;PIB_POR_HABITANTE;GINI;TX_HOMICIDIO;TX_SUICIDIO;EXPORTACAO_PERCAPITA;POUPANCA_PERCAPITA;ARRECADACAO_TOTAL_IMPOSTOS_PERCAPITA;DESP_CIENCIA_TEC_PERCAPITA;VALOR_TOTAL_BF_PERCAPITA;DESP_LEGISLATIVO_PERCAPITA;RECEITA_IPTU_PERCAPITA;COTA_PARTE_FPM_PERCAPITA;DESP_SAUDE_SANEAMENTO_PERCAPITA;OPERACOES_CREDITO_PERCAPITA;INDICADOR_REND_P_FUND;SAEB_MEDIA_FUND;IDEB_2021_FUND;INDICADOR_REND_P_ENS_MEDIO;SAEB_MEDIA_ENS_MEDIO;IDEB_2021_ENS_MEDIO
4316972;santa margarida do sul;RS;55.16;35.1;5.5;0.29;79.17;71.26;90.97;42;188;0.83;2.72;148.51;97;426;2596;361014;0.06;1.24;0.201463790446841;139.065485362096;0.54;0;38.52;NA;NA;437.012558660674;NA;35.6425269645609;414.458478428351;34.3244491525424;5167.09919106317;2961.94198767334;NA;0.792676;-;-;-;-;-
4317004;santana da boa vista;RS;58.4;36.38;42.66;0.07;61.58;59.44;91.64;111;452;-1.32;4.95;183.16;374;722;7024;364899;0.06;0.87;0.156036446469248;51.9503132118451;0.52;0;28.47;NA;1.52228193891189;303.193844060014;NA;45.9594248291572;187.172092824601;80.9737599658314;1961.40358058087;1394.66763667426;0.883557365921071;0.962333;5.603678;5.4;0.850804;-;-
4317103;santana do livramento;RS;92.27;7.06;40.62;0.07;93.59;84.17;97.12;1799;10007;0.2;12.15;107.99;7570;13412;84421;2823913;0.49;9.66;0.248540055199536;33.4503618767842;0.54;17.77;11.85;139.0118809301;1.49265877505837;233.905598057409;NA;36.8403477807654;117.549773397614;170.85033948899;775.910814726194;1104.61740846472;4.22919683246451;0.958979;5.55643;5.3;0.811943;-;-
4317202;santa rosa;RS;93.6;3.73;36.06;0.01;98.2;90.67;97.61;1148;11191;0.96;157.27;99.91;1733;13697;76963;3732037;0.64;3.07;0.200485947793095;48.4913140080298;0.47;19.49;14.29;1545.30239205852;1.84634675639205;569.525126730513;NA;8.71136780011174;61.5497529981939;350.733610176319;790.306630458792;1892.41626872653;6.95140769177475;0.993146;6.600846;6.6;0.91476;4.776537;4.4
4317251;santa tereza;RS;91.39;5.07;5.74;NA;97.97;81.79;97.86;19;85;-1.16;20.43;361.44;23;61;1505;49850;0.01;0.07;0.0558139534883721;33.1229235880399;0.37;0;0;107.475083056478;NA;190.120035350306;NA;4.50299003322259;300.791754152824;78.7894285714286;9326.50692358804;3499.76150830565;NA;-;-;-;-;-;-
4317301;santa vitoria do palmar;RS;80.46;15.58;66.27;0.02;95.95;83.53;95.91;787;3985;0;5.95;118.86;2545;4135;30983;1755622;0.3;4.19;0.215602104379821;56.6640415711842;0.54;32.28;19.37;0.456702062421328;1.94128566665245;463.618635092144;NA;0.0261327179420973;79.4805761223897;330.911345899364;1208.09415389084;992.177743924087;5.81745548830675;0.980791;5.644604;5.5;0.912141;-;-
4317400;santiago;RS;91.42;4.99;80.9;0.02;96.35;83.71;96.73;958;8498;-0.02;20.27;143.7;1330;7578;48938;2021444;0.35;7.75;0.182026237279823;41.3062242020516;0.51;16.35;14.3;NA;2.04022422985186;386.641823490134;NA;14.8866320650619;65.1301935101557;9.37224794638114;649.761737913278;817.98124422739;8.75088274472071;0.993377;6.410307;6.4;0.729544;4.623432;3.4
4317509;santo angelo;RS;93.53;3.03;34.78;0.02;97.59;87.35;97.07;1640;12473;0.07;113.22;110.05;1881;15329;76917;3180262;0.55;2.62;0.223747676066409;41.3466723871186;0.54;19.5;24.7;1851.59384791399;2.2824265110597;416.934673656106;NA;16.7387183587503;85.9887067878363;241.189224618745;790.779271162422;696.000041343266;9.62802240607438;0.996199;6.026831;6;0.912681;5.189391;4.7
4317558;santo antonio do palma;RS;85.96;6.15;3.21;NA;96.66;85.56;96.58;39;167;-0.19;16.58;140;34;253;2091;119796;0.02;0.1;0.137254901960784;57.2912482065997;0.49;0;0;NA;NA;230.214163856223;NA;0.00543280726924916;329.515394548063;68.3064227642276;6712.7656241033;2636.50744619799;NA;1;6.089947;6.1;1;4.54697;4.5
4317608;santo antonio da patrulha;RS;65.16;28.79;33.08;0.04;96.16;79.23;94.26;861;4010;0.65;40.92;127.29;2656;3580;42947;1680497;0.29;0.68;0.145202225999488;39.1295550329476;0.44;6.99;9.31;333.339837474096;2.52833137442096;423.837089636496;NA;22.4025892378979;104.014084336508;202.974360956528;980.491738188931;829.65380236105;3.71573961542674;0.981568;6.35755;6.2;0.924051;4.776895;4.4
